title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Volver,movie,"Comedy, Drama",2006.0,7.6,109266.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Syriana,movie,"Drama, Thriller",2005.0,6.9,135839.0,BE
Stand by Me,movie,"Adventure, Comedy, Drama",1986.0,8.1,456660.0,"AE, AG, AR, AZ, BB, BM, BO, BR, BS, BY, BZ, CA, CL, CO, CR, CU, CY, DO, EC, FJ, GB, GF, GG, GI, GR, GT, HK, HN, ID, IE, IS, JM, LC, MD, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UA, US, UY, VE"
The Godfather,movie,"Crime, Drama",1972.0,9.2,2087570.0,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
The Godfather Part II,movie,"Crime, Drama",1974.0,9.0,1407941.0,"AO, CI, CM, CV, GH, GQ, KE, MG, ML, MU, MZ, NE, NG, SC, SN, TD, TZ, UG, ZA, ZM, ZW"
In China They Eat Dogs,movie,"Action, Comedy, Crime",1999.0,7.3,23490.0,"DK, FI, NO, SE"
Ghost,movie,"Drama, Fantasy, Romance",1990.0,7.1,244394.0,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
King Kong,movie,"Action, Adventure, Romance",2005.0,7.2,455392.0,US
Live Flesh,movie,Drama,1997.0,7.3,34482.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Batman Begins,movie,"Action, Drama",2005.0,8.2,1624366.0,"AD, AT, AU, CH, DE, ES, IT, JP, KR, LI, LU, NZ, PT, SM"
The Shawshank Redemption,movie,Drama,1994.0,9.3,2991005.0,"AD, BA, BE, BG, CA, CV, CZ, ES, HR, HU, JP, MD, ME, MK, MZ, NL, PL, PT, RO, RS, SI, SK"
